OPTD: OPT Done
YD: Written to extract write set
CTD: Test Done

R1: Optimizing sal/sar/shr and the flag updates; Is the path count mask > 64 ever reached, Testing of sarxq_r64_r64_r64 shows its not.
#R2: concate over extract cm(ex1, cm(ex2,...)) can we concat ex1 and ex2 
R3: adc flags
#R4: B orBool B



vcvtdq2pd_xmm_xmm	3	13	
vcvtsd2ss_xmm_xmm_xmm	3	24	
vcvttss2sil_r32_xmm	3	26	
vdivsd_xmm_xmm_xmm	3	14	
vfmadd231ss_xmm_xmm_xmm	3	36	
vfmsub132pd_xmm_xmm_xmm	3	41	
vfmsub132ss_xmm_xmm_xmm	3	25	
vfmsub213ps_xmm_xmm_xmm	3	16	
vfnmadd132ps_xmm_xmm_xmm	3	21	
vfnmadd231pd_xmm_xmm_xmm	3	20	
vfnmsub213ss_xmm_xmm_xmm	3	33	
vminsd_xmm_xmm_xmm	3	21	
vmovshdup_xmm_xmm	3	63	
vmovsldup_ymm_ymm	3	57	
vorpd_ymm_ymm_ymm	3	23	
vpandn_xmm_xmm_xmm	3	35	
vpbroadcastw_ymm_xmm	3	48	
vsqrtsd_xmm_xmm_xmm	3	23	
vsqrtss_xmm_xmm_xmm	3	40	
vsubps_xmm_xmm_xmm	3	29	
vsubsd_xmm_xmm_xmm	3	15	
vunpckhpd_ymm_ymm_ymm	3	15	
vunpckhps_xmm_xmm_xmm	3	26	
xchgb_r8_r8	3	43	
xchgb_rh_r8	3	19	
xorb_rh_r8	3	45	
xorpd_xmm_xmm	3	8	
			
Stratum 4	59		
addb_rh_rh	4	23	
addsubpd_xmm_xmm	4	70	
addsubps_xmm_xmm	4	71	
andb_r8_rh	4	80	
andnl_r32_r32_r32	4	43	
andnps_xmm_xmm	4	21	
blsmskl_r32_r32	4	31	
cmovew_r16_r16	4	46	
cmovnael_r32_r32	4	27	
cmovnaq_r64_r64	4	29	
cmovnel_r32_r32	4	10	
cmovneq_r64_r64	4	35	
cmovnew_r16_r16	4	32	
cmovnsl_r32_r32	4	35	
cmovpol_r32_r32	4	29	
minsd_xmm_xmm	4	22	
movhlps_xmm_xmm	4	8	
movsbw_r16_r8	4	28	
movshdup_xmm_xmm	4	67	
negb_rh	4	65	
notb_rh	4	50	
orb_r8_rh	4	65	
orb_rh_rh	4	49	
pand_xmm_xmm	4	32	
punpckhdq_xmm_xmm	4	28	
salw_r16_one	4	21	
seta_r8	4	21	
setna_rh	4	33	
setnc_r8	4	64	
setng_r8	4	40	
setng_rh	4	20	
setnl_rh	4	31	
setp_rh	4	30	
setpe_rh	4	30	
sets_rh	4	34	
unpckhps_xmm_xmm	4	74	
vandnpd_ymm_ymm_ymm	4	68	
vdivss_xmm_xmm_xmm	4	29	
vfmadd132ss_xmm_xmm_xmm	4	58	
vfmsub213pd_xmm_xmm_xmm	4	49	
vfmsub231pd_xmm_xmm_xmm	4	52	
vfmsub231sd_xmm_xmm_xmm	4	59	
vfnmadd132ss_xmm_xmm_xmm	4	83	
vfnmadd213pd_xmm_xmm_xmm	4	23	
vfnmadd231ps_xmm_xmm_xmm	4	24	
vhaddpd_ymm_ymm_ymm	4	52	
vhsubpd_xmm_xmm_xmm	4	44	
vminss_xmm_xmm_xmm	4	19	
vmovd_xmm_r32	4	52	
vmovmskpd_r32_xmm	4	46	
vmovshdup_ymm_ymm	4	156	
vorps_ymm_ymm_ymm	4	23	
vpmovzxbq_xmm_xmm	4	31	
vpmovzxdq_ymm_xmm	4	59	
vpor_ymm_ymm_ymm	4	24	
vpunpckhqdq_ymm_ymm_ymm	4	15	
vpunpcklqdq_ymm_ymm_ymm	4	39	
vrsqrtss_xmm_xmm_xmm	4	29	
xorb_rh_rh	4	73	
			
Stratum 5	63		
andb_rh_r8	5	99	
andl_r32_r32	5	59	
andnpd_xmm_xmm	5	21	
andpd_xmm_xmm	5	51	
andps_xmm_xmm	5	43	
bswap_r64	5	161	
cltd	5	53	
cmc	5	90	
cmoval_r32_r32	5	37	
cmovbl_r32_r32	5	32	
cmovbq_r64_r64	5	30	
cmovcw_r16_r16	5	49	
cmovel_r32_r32	5	17	
cmovgew_r16_r16	5	67	
cmovnbel_r32_r32	5	75	
cmovnbeq_r64_r64	5	47	
cmovncl_r32_r32	5	35	
cmovnpl_r32_r32	5	29	
cmovnpw_r16_r16	5	32	
cmovnzq_r64_r64	5	35	
cmovpel_r32_r32	5	36	
cmovpeq_r64_r64	5	82	
cvtsi2ssl_xmm_r32	5	65	
decb_rh	5	82	
hsubpd_xmm_xmm	5	46	
movd_xmm_r32	5	54	
movmskpd_r64_xmm	5	46	
orb_r8_r8	5	81	
phaddd_xmm_xmm	5	120	
pmovzxbq_xmm_xmm	5	64	
rclb_rh_one	5	105	
sarq_r64_one	5	84	
setle_r8	5	40	
setna_r8	5	53	
setnb_r8	5	84	
setnbe_rh	5	39	
setnle_r8	5	64	
setns_rh	5	53	
testl_r32_r32	5	51	
