DEC	x86-inc/dec-4x
PUSH	x86-push-general-register
PUSH	x86-push-general-register
PUSH	x86-push-general-register
PUSH	x86-push-general-register
PUSH	x86-push-general-register
PUSH	x86-push-general-register
PUSH	x86-push-general-register
PUSH	x86-push-general-register
POP	x86-pop-general-register
POP	x86-pop-general-register
POP	x86-pop-general-register
POP	x86-pop-general-register
POP	x86-pop-general-register
POP	x86-pop-general-register
POP	x86-pop-general-register
POP	x86-pop-general-register
PUSHA/PUSHAD	x86-pusha
POPA/POPAD	x86-popa
MOVSXD	x86-one-byte-movsxd
PUSH	x86-push-i
IMUL	x86-imul-op/en-rmi
PUSH	x86-push-i
IMUL	x86-imul-op/en-rmi
JO	x86-one-byte-jcc
JNO	x86-one-byte-jcc
JB/NAE/C	x86-one-byte-jcc
JNB/AE/NC	x86-one-byte-jcc
JZ/E	x86-one-byte-jcc
JNZ/NE	x86-one-byte-jcc
JBE/NA	x86-one-byte-jcc
JNBE/A	x86-one-byte-jcc
JS	x86-one-byte-jcc
JNS	x86-one-byte-jcc
JP/PE	x86-one-byte-jcc
JNP/PO	x86-one-byte-jcc
JL/NGE	x86-one-byte-jcc
JNL/GE	x86-one-byte-jcc
JLE/NG	x86-one-byte-jcc
JNLE/G	x86-one-byte-jcc
ADD	((:reg 0))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
OR	((:reg 1))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
ADC	((:reg 2))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
SBB	((:reg 3))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
AND	((:reg 4))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
SUB	((:reg 5))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
XOR	((:reg 6))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
CMP	((:reg 7))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
ADD	((:reg 0))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
OR	((:reg 1))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
ADC	((:reg 2))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
SBB	((:reg 3))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
AND	((:reg 4))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
SUB	((:reg 5))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
XOR	((:reg 6))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
CMP	((:reg 7))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
#ux82		
ADD	((:reg 0))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
OR	((:reg 1))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
ADC	((:reg 2))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
SBB	((:reg 3))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
AND	((:reg 4))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
SUB	((:reg 5))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
XOR	((:reg 6))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
